('Total Revenue', '378,323,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         540386 function calls (521626 primitive calls) in 6.097 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       50    0.000    0.000    0.496    0.010 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.030    0.030 connectionpool.py:1(<module>)
        1    0.000    0.000    0.087    0.087 connection.py:356(connect)
        2    0.000    0.000    0.027    0.013 connection.py:1(<module>)
       25    0.000    0.000    0.003    0.000 response.py:395(_decode)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.871    0.871 financial.py:33(get_row)
       36    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
       13    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
      350    0.000    0.000    0.000    0.000 typing.py:618(<genexpr>)
       56    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1484(__init__)
      2/1    0.000    0.000    0.746    0.746 sessions.py:613(send)
      170    0.000    0.000    0.000    0.000 enum.py:628(name)
        5    0.000    0.000    0.000    0.000 url.py:330(parse_url)
